dispatching_base_number,date,active_vehicles,trips,month,day,weekday
B02765,2015-02-21,685,7658,2,21,Saturday
B02617,2015-02-21,1443,16098,2,21,Saturday
B02512,2015-02-21,238,2149,2,21,Saturday
B02764,2015-02-21,3981,44194,2,21,Saturday
B02512,2015-02-22,199,1312,2,22,Sunday
B02617,2015-02-22,1248,10696,2,22,Sunday
B02682,2015-02-22,1220,10970,2,22,Sunday
B02764,2015-02-22,3478,30157,2,22,Sunday
B02598,2015-02-22,909,8271,2,22,Sunday
B02765,2015-02-22,566,5034,2,22,Sunday
B02598,2015-02-23,966,8943,2,23,Monday
B02617,2015-02-23,1332,11720,2,23,Monday
B02764,2015-02-23,3734,31173,2,23,Monday
B02682,2015-02-23,1262,11714,2,23,Monday
B02765,2015-02-23,665,5823,2,23,Monday
B02512,2015-02-23,238,1844,2,23,Monday
B02764,2015-02-24,3965,34686,2,24,Tuesday
B02512,2015-02-24,247,1869,2,24,Tuesday
B02598,2015-02-24,1061,9954,2,24,Tuesday
B02682,2015-02-24,1346,12497,2,24,Tuesday
B02617,2015-02-24,1456,13719,2,24,Tuesday
B02765,2015-02-24,698,6390,2,24,Tuesday
B02512,2015-02-25,246,1647,2,25,Wednesday
B02598,2015-02-25,1076,9405,2,25,Wednesday
B02765,2015-02-25,706,6178,2,25,Wednesday
B02682,2015-02-25,1395,12693,2,25,Wednesday
B02617,2015-02-25,1473,12811,2,25,Wednesday
B02764,2015-02-25,3934,31957,2,25,Wednesday
B02598,2015-02-26,1134,10661,2,26,Thursday
B02617,2015-02-26,1539,14461,2,26,Thursday
B02682,2015-02-26,1465,13814,2,26,Thursday
B02512,2015-02-26,243,1797,2,26,Thursday
B02765,2015-02-26,745,6744,2,26,Thursday
B02764,2015-02-26,4101,36091,2,26,Thursday
B02765,2015-02-27,786,7563,2,27,Friday
B02617,2015-02-27,1551,14677,2,27,Friday
B02598,2015-02-27,1114,10755,2,27,Friday
B02512,2015-02-27,272,2056,2,27,Friday
B02764,2015-02-27,4253,38780,2,27,Friday
B02682,2015-02-27,1510,14975,2,27,Friday
B02598,2015-02-28,994,10319,2,28,Saturday
B02764,2015-02-28,3952,39812,2,28,Saturday
B02617,2015-02-28,1372,14022,2,28,Saturday
B02682,2015-02-28,1386,14472,2,28,Saturday
B02512,2015-02-28,230,1803,2,28,Saturday
B02765,2015-02-28,747,7753,2,28,Saturday
